Country,State,Year,Gender,Type Of Action Against The Crime,"Number Of Persons Arrested (UOM:Number), Scaling Factor:1"
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2022",Transgender,Persons Discharged,0
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2022",Transgender,Persons Acquitted,0
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2022",Total (Male+Female+Transgender),Persons Arrested,128
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2022",Total (Male+Female+Transgender),Persons Charge sheeted,134
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2022",Total (Male+Female+Transgender),Persons Discharged,0
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2022",Total (Male+Female+Transgender),Persons Acquitted,2
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2022",Total (Male+Female+Transgender),,4
India,Jharkhand,"Calendar Year (Jan - Dec), 2022",Male,Persons Arrested,16
India,Jharkhand,"Calendar Year (Jan - Dec), 2022",Male,Persons Charge sheeted,13
India,Jharkhand,"Calendar Year (Jan - Dec), 2022",Male,Persons Convicted,13
India,Jharkhand,"Calendar Year (Jan - Dec), 2022",Male,Persons Discharged,0
India,Jharkhand,"Calendar Year (Jan - Dec), 2022",Male,Persons Acquitted,0
India,Jharkhand,"Calendar Year (Jan - Dec), 2022",Female,Persons Arrested,0
India,Jharkhand,"Calendar Year (Jan - Dec), 2022",Female,Persons Charge sheeted,0
India,Jharkhand,"Calendar Year (Jan - Dec), 2022",Female,Persons Convicted,0
India,Jharkhand,"Calendar Year (Jan - Dec), 2022",Female,Persons Discharged,0
India,Jharkhand,"Calendar Year (Jan - Dec), 2022",Female,Persons Acquitted,0
India,Jharkhand,"Calendar Year (Jan - Dec), 2022",Transgender,Persons Arrested,0
India,Jharkhand,"Calendar Year (Jan - Dec), 2022",Transgender,Persons Charge sheeted,0
India,Jharkhand,"Calendar Year (Jan - Dec), 2022",Transgender,Persons Convicted,0
India,Jharkhand,"Calendar Year (Jan - Dec), 2022",Transgender,Persons Discharged,0
India,Jharkhand,"Calendar Year (Jan - Dec), 2022",Transgender,Persons Acquitted,0
India,Jharkhand,"Calendar Year (Jan - Dec), 2022",Total (Male+Female+Transgender),Persons Arrested,16
India,Jharkhand,"Calendar Year (Jan - Dec), 2022",Total (Male+Female+Transgender),Persons Charge sheeted,13
India,Jharkhand,"Calendar Year (Jan - Dec), 2022",Total (Male+Female+Transgender),Persons Discharged,0
India,Jharkhand,"Calendar Year (Jan - Dec), 2022",Total (Male+Female+Transgender),Persons Acquitted,0
India,Jharkhand,"Calendar Year (Jan - Dec), 2022",Total (Male+Female+Transgender),,13
India,Karnataka,"Calendar Year (Jan - Dec), 2022",Male,Persons Arrested,1625
India,Karnataka,"Calendar Year (Jan - Dec), 2022",Male,Persons Charge sheeted,1741
India,Karnataka,"Calendar Year (Jan - Dec), 2022",Male,Persons Convicted,16
India,Karnataka,"Calendar Year (Jan - Dec), 2022",Male,Persons Discharged,0
India,Karnataka,"Calendar Year (Jan - Dec), 2022",Male,Persons Acquitted,375
India,Karnataka,"Calendar Year (Jan - Dec), 2022",Female,Persons Arrested,224
India,Karnataka,"Calendar Year (Jan - Dec), 2022",Female,Persons Charge sheeted,238
India,Karnataka,"Calendar Year (Jan - Dec), 2022",Female,Persons Convicted,0
India,Karnataka,"Calendar Year (Jan - Dec), 2022",Female,Persons Discharged,0
India,Karnataka,"Calendar Year (Jan - Dec), 2022",Female,Persons Acquitted,59
India,Karnataka,"Calendar Year (Jan - Dec), 2022",Transgender,Persons Arrested,4
India,Karnataka,"Calendar Year (Jan - Dec), 2022",Transgender,Persons Charge sheeted,4
India,Karnataka,"Calendar Year (Jan - Dec), 2022",Transgender,Persons Convicted,0
India,Karnataka,"Calendar Year (Jan - Dec), 2022",Transgender,Persons Discharged,0
India,Karnataka,"Calendar Year (Jan - Dec), 2022",Transgender,Persons Acquitted,0
